cord_uid,sha,source_x,title,doi,pmcid,pubmed_id,license,abstract,publish_time,authors,journal,url
uid_000036,sha_500944,Elsevier,Analysis of coronavirus and clinical,10.6406/covid.36,,,cc0,Objective: To assess viral transmission dynamics during the COVID-19 pandemic. We present data from 1541 cases showing improved patient outcomes.,2022-02-06,"Johnson, Mary; Smith, Michael; Johnson, David; Davis, Sarah",New England Journal of Medicine,https://doi.org/10.1987/covid.36
uid_000037,sha_632201,PMC,Understanding vaccine: Implications for immunity,10.5826/covid.37,PMC7524775,93942407.0,cc-by-nc,Objective: To assess immune response during the COVID-19 pandemic. We present data from 4487 cases showing significant correlations.,2021-04-29,"Smith, Emily; Jones, David; Garcia, Sarah; Johnson, James; Johnson, Jennifer; Williams, Emily",The Lancet,https://doi.org/10.3901/covid.37
uid_000038,sha_451895,Springer,SARS-CoV-2 and SARS-CoV-2: A Comprehensive Review,10.1746/covid.38,PMC1459587,14382393.0,cc-by,The diagnostic methods of SARS-CoV-2 remains poorly understood. This research examines 2746 samples to elucidate improved patient outcomes.,2021-09-07,"Garcia, Jennifer; Brown, Emily",PLOS ONE,https://doi.org/10.5375/covid.38
uid_000039,sha_981492,WHO,transmission in the Context of clinical,10.9997/covid.39,PMC4496563,89195858.0,cc-by-nc,Background: Understanding disease severity is crucial for pandemic response. Methods: We conducted a prospective study with 2642 participants. Results: Our findings suggest novel insights into disease progression.,2023-10-01,"Williams, Robert; Williams, James; Williams, Robert; Martinez, John; Johnson, Emily",Vaccine,https://doi.org/10.8134/covid.39
uid_000040,sha_812887,Springer,coronavirus in the Context of SARS-CoV-2,10.9793/covid.40,PMC2842403,70960623.0,cc-by-nc,The therapeutic interventions of SARS-CoV-2 remains poorly understood. This research examines 4205 samples to elucidate novel insights into disease progression.,2023-07-21,"Davis, Mary; Smith, John; Rodriguez, Mary; Johnson, Mary; Martinez, Sarah; Williams, Mary; Martinez, Sarah; Garcia, Sarah",Science,https://doi.org/10.7143/covid.40
uid_000041,sha_264850,Springer,Understanding COVID-19: Implications for SARS-CoV-2,10.2265/covid.41,,50703489.0,cc-by,The therapeutic interventions of SARS-CoV-2 remains poorly understood. This research examines 1617 samples to elucidate novel insights into disease progression.,2021-04-13,"Rodriguez, James; Johnson, James; Martinez, Emily",Cell,https://doi.org/10.8348/covid.41
uid_000042,sha_897739,bioRxiv,Understanding SARS-CoV-2: Implications for epidemiology,10.8625/covid.42,PMC6064427,64105254.0,cc-by,The therapeutic interventions of SARS-CoV-2 remains poorly understood. This research examines 2298 samples to elucidate significant correlations.,2021-03-07,"Martinez, Sarah; Garcia, Lisa; Smith, Mary",JAMA,https://doi.org/10.8716/covid.42
uid_000043,sha_814313,Medline,viral infection in the Context of immunity,10.4779/covid.43,,,cc0,The diagnostic methods of SARS-CoV-2 remains poorly understood. This research examines 4169 samples to elucidate novel insights into disease progression.,2022-11-21,"Martinez, John; Smith, Lisa; Johnson, Sarah; Martinez, Sarah",Emerging Infectious Diseases,https://doi.org/10.1111/covid.43
uid_000044,sha_327698,bioRxiv,transmission: A Study of pandemic,10.9991/covid.44,,11386760.0,cc-by,,2021-05-22,"Jones, John; Garcia, John; Smith, Lisa",BMJ,https://doi.org/10.8285/covid.44
uid_000045,sha_902948,PMC,viral infection: A Study of diagnosis,10.9495/covid.45,PMC9157711,44342919.0,no-cc,This study investigates the viral transmission dynamics in patients with COVID-19. We analyzed 4680 cases and found significant results regarding significant correlations.,2021-12-17,"Smith, Mary; Brown, Mary; Williams, Michael; Rodriguez, James; Garcia, David; Garcia, Sarah",Journal of Medical Virology,https://doi.org/10.4188/covid.45
uid_000046,sha_711695,Springer,Understanding coronavirus: Implications for diagnosis,10.5508/covid.46,,,no-cc,The viral transmission dynamics of SARS-CoV-2 remains poorly understood. This research examines 4445 samples to elucidate novel insights into disease progression.,2022-11-30,"Rodriguez, John; Martinez, Emily; Jones, Michael; Rodriguez, James; Rodriguez, Jennifer",Science,https://doi.org/10.4758/covid.46
uid_000047,sha_264496,medRxiv,pandemic and epidemiology: A Comprehensive Review,10.6220/covid.47,,,cc-by,The immune response of SARS-CoV-2 remains poorly understood. This research examines 785 samples to elucidate significant correlations.,2021-04-21,"Jones, James; Jones, John",Vaccine,https://doi.org/10.4511/covid.47
uid_000048,sha_547754,medRxiv,Understanding respiratory disease: Implications for clinical,10.9014/covid.48,,53405486.0,cc-by,Background: Understanding epidemiological patterns is crucial for pandemic response. Methods: We conducted a cohort study with 1151 participants. Results: Our findings suggest significant correlations.,2021-05-28,"Garcia, Michael; Davis, John",Journal of Medical Virology,https://doi.org/10.7603/covid.48
uid_000049,sha_778732,Elsevier,Analysis of pandemic and respiratory disease,10.3766/covid.49,,66028920.0,cc0,This study investigates the clinical outcomes in patients with COVID-19. We analyzed 4422 cases and found significant results regarding critical factors affecting recovery.,2020-01-07,"Davis, Jennifer; Martinez, David; Miller, Sarah; Martinez, Michael; Rodriguez, Michael",BMJ,https://doi.org/10.2788/covid.49
uid_000050,sha_408228,WHO,epidemiology: A Study of SARS-CoV-2,10.4037/covid.50,PMC1197114,37744150.0,cc-by-nc,The vaccine efficacy of SARS-CoV-2 remains poorly understood. This research examines 2384 samples to elucidate significant correlations.,2020-09-04,"Smith, Lisa; Williams, James; Williams, Jennifer; Davis, David; Brown, Jennifer; Johnson, Michael; Davis, Emily",Emerging Infectious Diseases,https://doi.org/10.7701/covid.50
uid_000051,sha_325555,Elsevier,Analysis of COVID-19 and transmission,10.9346/covid.51,PMC7446744,,cc-by-nc,Objective: To assess prevention strategies during the COVID-19 pandemic. We present data from 2652 cases showing effective prevention measures.,2022-01-11,"Williams, John; Williams, Jennifer",Vaccine,https://doi.org/10.4099/covid.51
uid_000052,sha_261928,Elsevier,coronavirus in the Context of coronavirus,10.3997/covid.52,PMC9652388,92169277.0,no-cc,Objective: To assess viral transmission dynamics during the COVID-19 pandemic. We present data from 4943 cases showing novel insights into disease progression.,2020-11-19,"Brown, Robert; Johnson, Sarah; Martinez, Emily; Garcia, Sarah",Journal of Virology,https://doi.org/10.8304/covid.52
uid_000053,sha_624869,CZI,Analysis of diagnosis and immunity,10.6234/covid.53,,,cc0,Objective: To assess diagnostic methods during the COVID-19 pandemic. We present data from 3027 cases showing effective prevention measures.,2022-06-12,"Brown, Mary; Martinez, Michael; Johnson, Emily; Johnson, James; Williams, Emily",Vaccine,https://doi.org/10.8267/covid.53
uid_000054,sha_714513,Medline,epidemiology in the Context of coronavirus,10.9018/covid.54,,22944372.0,no-cc,This study investigates the therapeutic interventions in patients with COVID-19. We analyzed 4968 cases and found significant results regarding significant correlations.,2020-02-19,"Miller, James; Rodriguez, James; Williams, Emily; Davis, Lisa; Garcia, John",Journal of Medical Virology,https://doi.org/10.3259/covid.54
uid_000055,sha_937437,Medline,Analysis of COVID-19 and transmission,10.4745/covid.55,PMC7722381,87581144.0,cc-by-nc,Objective: To assess clinical outcomes during the COVID-19 pandemic. We present data from 2291 cases showing improved patient outcomes.,2023-06-07,"Johnson, Jennifer; Martinez, Robert; Garcia, Jennifer; Davis, Jennifer; Smith, Emily",Journal of Virology,https://doi.org/10.7690/covid.55
uid_000056,sha_836643,CZI,treatment and viral infection: A Comprehensive Review,10.1441/covid.56,PMC8738523,14518664.0,cc0,Background: Understanding immune response is crucial for pandemic response. Methods: We conducted a case-control study with 3610 participants. Results: Our findings suggest improved patient outcomes.,2019-12-12,"Jones, Robert; Williams, James",Journal of Medical Virology,https://doi.org/10.3393/covid.56
uid_000057,sha_280057,Elsevier,Analysis of viral infection and COVID-19,10.3721/covid.57,,75526710.0,cc-by,The immune response of SARS-CoV-2 remains poorly understood. This research examines 4836 samples to elucidate important implications for treatment.,2023-05-03,"Garcia, Robert; Jones, John",Virology,https://doi.org/10.3249/covid.57
uid_000058,sha_431950,PMC,Understanding public health: Implications for respiratory disease,10.7847/covid.58,,35520746.0,cc0,Background: Understanding epidemiological patterns is crucial for pandemic response. Methods: We conducted a cohort study with 622 participants. Results: Our findings suggest effective prevention measures.,2020-12-27,"Martinez, James; Jones, Jennifer; Smith, Emily; Davis, Sarah; Johnson, Sarah; Brown, Lisa",The Lancet,https://doi.org/10.2819/covid.58
uid_000059,sha_880828,medRxiv,immunity: A Study of immunity,10.9343/covid.59,PMC8788259,,no-cc,This study investigates the vaccine efficacy in patients with COVID-19. We analyzed 1599 cases and found significant results regarding important implications for treatment.,2022-09-12,"Smith, James; Johnson, Jennifer; Rodriguez, John; Martinez, James; Garcia, John; Brown, Sarah; Williams, Mary; Martinez, Lisa",New England Journal of Medicine,https://doi.org/10.8139/covid.59
uid_000060,sha_247050,Medline,Understanding coronavirus: Implications for vaccine,10.9934/covid.60,,,no-cc,Background: Understanding viral transmission dynamics is crucial for pandemic response. Methods: We conducted a retrospective study with 4700 participants. Results: Our findings suggest important implications for treatment.,2021-12-19,"Rodriguez, David; Brown, Lisa; Martinez, Jennifer; Davis, David; Garcia, Robert",Nature Medicine,https://doi.org/10.6364/covid.60
uid_000061,sha_620105,PMC,pandemic and diagnosis: A Comprehensive Review,10.8325/covid.61,,36663432.0,cc-by,Objective: To assess vaccine efficacy during the COVID-19 pandemic. We present data from 3140 cases showing significant correlations.,2022-11-05,"Garcia, Michael; Martinez, Mary; Jones, David; Williams, Emily",New England Journal of Medicine,https://doi.org/10.8543/covid.61
uid_000062,sha_659952,arXiv,transmission and SARS-CoV-2: A Comprehensive Review,10.9765/covid.62,PMC8424634,73923540.0,no-cc,,2020-01-07,"Smith, Jennifer; Johnson, Jennifer; Smith, Mary; Miller, David",Nature,https://doi.org/10.3967/covid.62
uid_000063,sha_330671,WHO,COVID-19 and SARS-CoV-2: A Comprehensive Review,10.2374/covid.63,,,cc-by-nc,Objective: To assess immune response during the COVID-19 pandemic. We present data from 3921 cases showing important implications for treatment.,2020-04-13,"Brown, James; Garcia, Mary; Johnson, Michael; Garcia, James; Miller, Mary; Jones, Michael; Rodriguez, Emily; Martinez, Emily",Nature,https://doi.org/10.5179/covid.63
uid_000064,sha_595400,arXiv,public health in the Context of transmission,10.9119/covid.64,PMC9460841,34834304.0,cc-by,Background: Understanding vaccine efficacy is crucial for pandemic response. Methods: We conducted a case-control study with 2757 participants. Results: Our findings suggest important implications for treatment.,2021-03-25,"Miller, Michael; Davis, Sarah",BMJ,https://doi.org/10.2026/covid.64
uid_000065,sha_355102,Elsevier,Analysis of transmission and clinical,10.7079/covid.65,,,no-cc,Background: Understanding epidemiological patterns is crucial for pandemic response. Methods: We conducted a retrospective study with 1688 participants. Results: Our findings suggest critical factors affecting recovery.,2022-03-05,"Rodriguez, Michael; Martinez, Lisa; Jones, James; Williams, James; Martinez, Mary",Journal of Virology,https://doi.org/10.8334/covid.65
uid_000066,sha_826161,medRxiv,COVID-19 and pandemic: A Comprehensive Review,10.1891/covid.66,,91641644.0,cc-by,This study investigates the diagnostic methods in patients with COVID-19. We analyzed 3061 cases and found significant results regarding critical factors affecting recovery.,2022-09-06,"Johnson, Michael; Williams, James; Miller, Jennifer; Miller, Sarah",Nature,https://doi.org/10.1126/covid.66
uid_000067,sha_301170,arXiv,diagnosis: A Study of clinical,10.5112/covid.67,,15096533.0,cc0,Objective: To assess immune response during the COVID-19 pandemic. We present data from 4893 cases showing important implications for treatment.,2023-12-13,"Martinez, Robert; Garcia, Robert; Williams, Mary; Johnson, Michael; Martinez, Jennifer",JAMA,https://doi.org/10.1049/covid.67
uid_000068,sha_289778,WHO,Understanding clinical: Implications for COVID-19,10.4656/covid.68,PMC6228070,,cc0,Objective: To assess epidemiological patterns during the COVID-19 pandemic. We present data from 1176 cases showing effective prevention measures.,2023-06-04,"Rodriguez, Sarah; Williams, David",Journal of Virology,https://doi.org/10.5585/covid.68
uid_000069,sha_697809,CZI,Understanding coronavirus: Implications for public health,10.9036/covid.69,PMC5174213,35416068.0,cc-by,Objective: To assess epidemiological patterns during the COVID-19 pandemic. We present data from 392 cases showing significant correlations.,2021-01-04,"Brown, Michael; Smith, Emily; Smith, John; Martinez, Mary; Jones, Jennifer",JAMA,https://doi.org/10.5469/covid.69
uid_000070,sha_589823,bioRxiv,Understanding treatment: Implications for transmission,10.5316/covid.70,PMC7490033,78499017.0,cc-by-nc,The immune response of SARS-CoV-2 remains poorly understood. This research examines 1754 samples to elucidate novel insights into disease progression.,2020-10-27,"Miller, Emily; Miller, Mary; Rodriguez, John; Smith, David; Jones, Robert; Davis, Sarah; Williams, James",Emerging Infectious Diseases,https://doi.org/10.6947/covid.70
uid_000071,sha_314118,arXiv,Understanding diagnosis: Implications for transmission,10.6841/covid.71,PMC2066164,56924072.0,cc-by,This study investigates the clinical outcomes in patients with COVID-19. We analyzed 4713 cases and found significant results regarding important implications for treatment.,2022-06-25,"Smith, Jennifer; Miller, Lisa; Martinez, Lisa; Jones, Michael; Jones, Robert",Nature Medicine,https://doi.org/10.1868/covid.71
uid_000072,sha_340191,PMC,epidemiology in the Context of pandemic,10.5253/covid.72,,,cc0,Objective: To assess epidemiological patterns during the COVID-19 pandemic. We present data from 3074 cases showing effective prevention measures.,2022-10-13,"Williams, Lisa; Rodriguez, James; Johnson, Sarah",New England Journal of Medicine,https://doi.org/10.8327/covid.72
uid_000073,sha_453127,Medline,Analysis of coronavirus and epidemiology,10.5440/covid.73,PMC3019866,,cc-by,Objective: To assess prevention strategies during the COVID-19 pandemic. We present data from 2344 cases showing critical factors affecting recovery.,2021-03-20,"Martinez, James; Brown, James",Virology,https://doi.org/10.2343/covid.73
uid_000074,sha_698080,arXiv,Analysis of transmission and treatment,10.9173/covid.74,PMC3243050,,cc0,Background: Understanding epidemiological patterns is crucial for pandemic response. Methods: We conducted a retrospective study with 2806 participants. Results: Our findings suggest effective prevention measures.,2021-08-25,"Smith, Jennifer; Rodriguez, Mary; Davis, David; Rodriguez, Lisa",Clinical Infectious Diseases,https://doi.org/10.5480/covid.74
uid_000075,sha_913042,bioRxiv,Understanding immunity: Implications for respiratory disease,10.2774/covid.75,PMC5999268,,cc-by,This study investigates the viral transmission dynamics in patients with COVID-19. We analyzed 4460 cases and found significant results regarding important implications for treatment.,2022-07-20,"Rodriguez, David; Brown, James; Miller, James; Martinez, James; Martinez, Sarah; Williams, Sarah; Williams, Lisa; Garcia, Michael",New England Journal of Medicine,https://doi.org/10.6497/covid.75
